"","lhs","Var.2","rhs","support","confidence","lift","count"
"[1]","{Prod2=E}","=>","{Prod3=I}",0.170916666666667,0.517667844522968,1.01953292865183,2051
"[2]","{Prod3=I}","=>","{Prod2=E}",0.170916666666667,0.33661578860988,1.01953292865183,2051
"[3]","{Prod2=F}","=>","{Prod3=I}",0.169166666666667,0.500863557858377,0.986437336993356,2030
"[4]","{Prod3=I}","=>","{Prod2=F}",0.169166666666667,0.333169210569506,0.986437336993356,2030
"[5]","{Prod2=F}","=>","{Prod3=H}",0.168583333333333,0.499136442141624,1.01398972502107,2023
"[6]","{Prod3=H}","=>","{Prod2=F}",0.168583333333333,0.342475029625868,1.01398972502107,2023
"[7]","{Prod2=G}","=>","{Prod3=I}",0.167666666666667,0.504893350062735,0.994373904604107,2012
"[8]","{Prod3=I}","=>","{Prod2=G}",0.167666666666667,0.330215000820614,0.994373904604107,2012
"[9]","{Prod2=G}","=>","{Prod3=H}",0.164416666666667,0.495106649937265,1.00580325025346,1973
"[10]","{Prod3=H}","=>","{Prod2=G}",0.164416666666667,0.334010496021669,1.00580325025346,1973
"[11]","{Prod2=E}","=>","{Prod3=H}",0.15925,0.482332155477032,0.979852017220989,1911
"[12]","{Prod3=H}","=>","{Prod2=E}",0.15925,0.323514474352463,0.979852017220989,1911
"[13]","{Prod1=D}","=>","{Prod3=I}",0.128416666666667,0.523082145281738,1.03019624870849,1541
"[14]","{Prod1=C}","=>","{Prod3=I}",0.127833333333333,0.503446012471283,0.991523412055703,1534
"[15]","{Prod1=B}","=>","{Prod3=I}",0.127166666666667,0.50462962962963,0.993854514287798,1526
"[16]","{Prod1=C}","=>","{Prod3=H}",0.126083333333333,0.496553987528717,1.00874349929653,1513
"[17]","{Prod1=B}","=>","{Prod3=H}",0.124833333333333,0.49537037037037,1.00633899516581,1498
"[18]","{Prod1=A}","=>","{Prod3=I}",0.124333333333333,0.500167616493463,0.985066699150099,1492
"[19]","{Prod1=A}","=>","{Prod3=H}",0.12425,0.499832383506537,1.01540352159784,1491
"[20]","{Prod1=D}","=>","{Prod3=H}",0.117083333333333,0.476917854718262,0.968852929849186,1405
